Disease,Description
Anaemia,"Anemia is a blood disorder in which there are fewer red blood cells than the normal level or has less amount of hemoglobin than normal in each red blood cell. In any case, less amount of oxygen is carried in the bloodstream around the body. Red blood cells (RBCs)carry oxygen to the body tissues using a particular protein called hemoglobin. Anemia is not a disease, but it is a malfunction in the body.Anemiais a common blood condition, particularly in females. It is observed that around one in five menstruating women and half of all pregnant women are anemic."
Angina,Angina is a form of chest pain caused by the decreased blood supply to the heart. A lack of blood flow suggests that the cardiovascular system is not getting enough oxygen. Physical exertion or emotional stress are common causes of this type of discomfort.
Asthma,"Bronchial asthma is a lung condition where your airways become swollen, narrow, and clogged with excess mucus. This leads to breathing difficulties, but medications can help manage the symptoms."
Aortic Stenosis,"Aortic stenosis is a condition characterized by the narrowing of the aortic valve opening, which restricts blood flow from the left ventricle to the aorta and onward to the rest of the body."
Atherosclerosis,"Atherosclerosis is a condition when fats, cholesterol, and other chemicals build up on the walls of the arteries. This accumulation is called plaque. The arteries may narrow as a result of the plaque, obstructing the blood flow. Ablood clotcan result if the plaque bursts."
Ankylosing Spondylitis,"Ankylosing spondylitis (AS), also called axial spondyloarthritis, is a long-term inflammatory condition that can cause the bones in the spine (vertebrae) to fuse over time. This fusion reduces spinal flexibility, leading to stiffness and a hunched posture. When the ribs are involved, it may become challenging to take deep breaths, affecting overall comfort and mobility."
Autoimmune Disease,"The immune system is made up of specialized cells and chemicals that work together to fight bacteria and viruses causing infections. However, when the immune system mistakenly starts attacking the body’s own tissues, autoimmune conditions occur. Autoimmune conditions can be classified into two types: organ-specific autoimmune disease and non-organ-specific disorders."
Asbestosis,"Asbestosis is a chronic lung disease caused by long-term exposure to asbestos fibers. These tiny fibers get lodged in the lungs and lead to scarring (fibrosis), which makes it hard to breathe."
Aplastic Anaemia,"Aplastic anemia is rare but it is a serious condition that affects your blood. It occurs when the bone marrow, the spongy tissue inside your bones responsible for producing blood cells, gets damaged and can’t produce enough new blood cells or platelets. Without treatment, this condition can become life-threatening."
Atopic Dermatitis,"Atopic Dermatitis is a chronic inflammatory skin condition (a type of eczema) that causes dry, itchy, and inflamed skin."
Anal Fistula,An anal fistula is an abnormal opening between the external skin of the buttocks and the anal canal. It occurs in around 30-40% of patients with ananal abscess.
Aortic Dissection,"Aortic dissection is a life-threatening condition in which there is a tear in the inner layer of the body's major artery (aorta) carrying blood out of the heart . The aorta carries oxygen-rich blood from the heart to the rest of the body. It has three tissue layers: an inner layer, a middle layer, and an exterior layer. Aortic dissection happens when a tear develops in the inner layer of a weaker part of the aorta. Normal blood flow to different parts of the body may be reduced or interrupted when diverted blood travels between tissue layers, or the aorta may rupture altogether."
