Disease,Do_1,Do_2,Do_3,Do_4,Do_5
Anaemia,"Eat iron-rich foods like spinach, beetroot, dates, jaggery, and legumes.","Include vitamin C–rich foods (orange, lemon, amla) to help iron absorption.","Take iron, folic acid, or vitamin B12 supplements if prescribed by a doctor.",Get regular blood tests to monitor hemoglobin levels.,Get adequate rest and maintain a balanced diet.
Angina,Allow the individual to rest and try to relax,Help the person in seeking medical care,Remove any restrictive clothing,Enquire if the person is taking any prescription medication for a known cardiovascular disease,Assist the individual in taking the medication
Asthma,Stay away from areas where there is high air pollution.,Keep your inhalers handy.,Get your flu shot on time to avoid any complications.,"Keep your home free of dust mites, cockroaches, and mold.",Use your inhaled medications as directed by your healthcare provider.
Aortic Stenosis,Take prescribed heart medicines regularly and exactly as advised.,"Get regular heart check-ups (ECHO, ECG) to monitor valve condition.",Perform only light activities as recommended by your doctor.,"Eat a heart-healthy diet (low salt, low fat, balanced nutrition).","Seek immediate medical help if you feel chest pain, fainting, or breathlessness."
Atherosclerosis,Eat nutritious food.,Perform regular exercises,Maintain proper body mass index,GMaintain your cholesterol levels.,Maintain blood pressure levels.
Ankylosing Spondylitis,Exercise regularly.,Avoid a sedentary lifestyle,Avoid poor posture,Eat a well-balanced diet,Avoid chronic stress
Autoimmune Disease,Meet the respective specialist based on your symptoms,Take prescribed medicines regularly,Manage the stress levels,Avoid taking other medicines without prescription,Get adequate sleep and maintain a healthy lifestyle
Asbestosis,Wear protective clothing when going out in polluted or dusty areas,Have a qualified asbestos inspector conduct a test before a renovation,Take vaccine,Visit your doctor if you see any symptoms,ake vaccinations like flu and pneumonia if advised by a doctor.
Aplastic Anaemia,Wash hands regularly to prevent infections,Avoid cuts or bruising to prevent bleeding,Eat a nutritious diet,Stay away from toxic chemicals,Regular health check-ups
Atopic Dermatitis,Apply moisturizers (emollients) regularly to keep the skin well-hydrated. ,"Choose mild, fragrance-free soaps, detergents, and skincare products to avoid irritating the skin. ","Practice good hygiene by taking short, lukewarm baths or showers using mild cleansers. ",Determine and avoid potential triggers that worsen your eczema symptoms.,"Opt for loose-fitting, soft, and breathable clothing made of natural fibres like cotton."
Anal Fistula,Wear a pad over the anal area until healing is complete.,"Avoid spicy and oily foods,",Eat a diet high in fiber and drink plenty of fluids.,Use a stool softener if needed,Eat a balanced diet to maintain bowel movements.
Aortic Dissection,Maintain a healthy blood pressure,Maintain healthy body weight.,Do mild to moderate physical activity regularly.,Follow up with the doctor regularly to monitor overall health.,Wear a seatbelt in the vehicle
Athlete's Foot,Keep your feet clean and dry,"Wear clean, dry socks and shoes",Dry your feet thoroughly after swimming or bathing,Avoid tight-fitting shoes,Use an antifungal powder or spray on your feet and inside your shoes
Amoebiasis,"Wash your hands thoroughly with soap and water, especially after using the toilet.",Cook food thoroughly and consume it while it is still hot.,Wash fruits and vegetables properly before eating them.,Seek medical help if you have symptoms of amoebiasis.,Take all prescribed medications as directed by the doctor.
Anthrax,Consult the doctor immediately if you have been exposed to anthrax.,Follow recommended safety protocols when handling anthrax-contaminated materials.,Report any suspected cases of anthrax exposure to the local health department or other relevant authorities.,Use proper hand hygiene and follow good personal hygiene practices to prevent the spread of anthrax.,"Avoid contact with infected livestock, animal products, and animal carcasses."
Aortic Valve Disease,Take all heart medications exactly as prescribed by your doctor.,"Go for regular heart check-ups (ECHO, ECG) to monitor valve function.","Follow a heart-healthy lifestyle with low-salt, low-fat food.",Do only doctor-recommended physical activity or exercise.,"Seek medical help immediately if you experience chest pain, dizziness, fainting, or breathlessness."
Anal Fissure,Drink plenty of water throughout the day,"Eat high-fiber foods (vegetables, fruits, whole grains)",Take warm sitz baths to relax the area,"Use creams or ointments (e.g., lidocaine)",Use a footstool while using the toilet for better posture
Alzheimer's Disease,Keep your tone and body language friendly and positive.,Repeat instructions or sentences exactly the same way.,Be kind and polite to the person,Use distraction as a tool,"Talk in short, simple sentences of seven words or less."
