Disease,Dont_1,Dont_2,Dont_3,Dont_4,Dont_5,Dont_6,Dont_7,Dont_8,Dont_9,Dont_10
Anaemia,Do not skip prescribed iron or vitamin supplements.,Avoid drinking tea or coffee immediately after meals (reduces iron absorption).,"Do not ignore symptoms like fatigue, dizziness, or pale skin.",Avoid junk food and highly processed foods.,Do not self-medicate without consulting a doctor.,,,,,
Angina,Delay in seeking medical attention,Make the individual walk or sit,Leave the person experiencing chest pain alone,Wait for the symptoms to subside,Give the person anything orally unless it is nitroglycerin/aspirin suggested by any expert,,,,,
Asthma,"Use scented candles, air fresheners, or other fragrances in your home.",Use asthma medicines without consulting the doctor,Smoke or be around secondhand smoke,Ignore early warning signs of an asthma attack,Get exposed to asthma triggering factors,,,,,
Aortic Stenosis,Do not do heavy exercise or strenuous physical activity.,"Do not ignore symptoms like dizziness, chest pain, or shortness of breath.","Avoid smoking, alcohol, and tobacco use.",Do not miss follow-up appointments or tests.,Avoid sudden exertion or stress without medical advice.,,,,,
Atherosclerosis,Do smoking.,Take stress or tension.,"Eat oily, deep-fried or outside food.",Stop taking medications suddenly.,Forget to take regular doctor appointments.,,,,,
Ankylosing Spondylitis,Avoid taking medicines as prescribed regularly.,Fall for fad diets,Drink too much alcohol.,Use thick pillows while sleeping,Lift heavy weights.,,,,,
Autoimmune Disease,Eat fatty and fried foods,Follow fad diet plan,Consume alcohol,Skip the doctor appointment,Eat artificial sweeteners and food colours,,,,,
Asbestosis,Use abrasive or harsh cleaning supplies or equipment that could contain asbestos,Smoke or stay where other people are smoking,Forget to take medications,Go to areas with ongoing construction,Avoid heavy physical work that causes breathlessness.,,,,,
Aplastic Anaemia,Ignore anaemia signs and symptoms,Smokeand consume alcohol,Do strenuous physical activities,Avoid taking rest,Eat unhealthy foods,,,,,
Atopic Dermatitis,"Scratch:Avoid scratching or rubbing the affected skin, as it can worsen inflammation and lead to skin infections. Keep your nails short and consider wearing soft cotton gloves at night to prevent scratching.","Use Harsh Soaps:Avoid harsh soaps, perfumed body washes, and bubble baths, as they can strip the skin of natural oils and exacerbate eczema symptoms.","Take Hot Showers or Baths:Hot water can dry out the skin and worsen eczema. Instead, use lukewarm water for bathing and showering.","Overuse of Corticosteroids:While topical corticosteroids can be effective for managing eczema, avoid overusing them. Follow your healthcare provider's instructions regarding their application, and do not use stronger corticosteroids on sensitive areas without guidance.",Skip Moisturizing:Consistently apply moisturizers even when your skin appears to be in good condition. Regular moisturizing helps prevent flare-ups.,"Ignore Signs of Infection:If you notice signs of infection, such as increased redness, swelling, pain, or oozing from the affected skin, seek medical attention promptly. Skin infections can worsen eczema and require treatment with antibiotics or antiviral medications.",,,,
Anal Fistula,Take any over-the-counter medicines without consulting the doctor.,Eat salty foods,Drink caffeinated beverages,"Eat bakery items such as pastries, foods made of refined flour, hydrogenated oils, etc.",Use harsh soaps in the affected region.,,,,,
Aortic Dissection,"Push, pull, bear down or lift anything heavy",Smoke or use any other tobacco products,"Participate in rigorous, competitive, or contact sports.",Eat high-salt diet,Eat saturated fats and junk foods,,,,,
Athlete's Foot,Share personal items such as towels or shoes,Walk barefoot in communal areas,Use the same towel for the infected and healthy foot,Use the same nail file after cutting the infected nails,"Ignore any other symptoms such as redness, itching or burning on the skin.",,,,,
Amoebiasis,Consume food or water that may be contaminated with faecal matter.,Consume raw or undercooked meats.,Share personal items such as towels or toothbrushes with others.,Self-medicate with over-the-counter medications or antibiotics.,Have sexual contact with someone with amoebiasis.,,,,,
Anthrax,Eat  raw or undercooked meat,Touch or handle suspected anthrax-contaminated materials without protective gear.,"Ignore symptoms of anthrax exposure, even if they seem mild.","Share personal items (such as towels, toothbrushes, or eating utensils) with others if you suspect exposure to anthrax.",Do not wash hands,,,,,
Aortic Valve Disease,"Do not ignore symptoms like fatigue, chest pain, or shortness of breath.",Avoid heavy exercise and sudden physical exertion.,Do not smoke or consume tobacco and alcohol.,Do not skip follow-up appointments or prescribed medicines.,1. Avoid stress and overexertion.,,,,,
Anal Fissure,Don't ignore the pain or delay treatment,Don't strain or sit too long on the toilet,Avoid rough toilet paper; use wet wipes or rinse gently,"Avoid spicy, greasy, or hard foods that irritate the gut","Don't use harsh soaps or creams without medical advice""",,,,,
Alzheimer's Disease,Speak with the patients loudly,Ignore the patients with Alzheimer's,"Disagree, argue, or correct the patient",Engage in arguments,Remind them they forget,,,,,
Acromegaly,Do not stop medicines or treatment without medical advice.,"Do not ignore changes in face, hands, feet, or body size.",Avoid delaying surgery or treatment if recommended.,Do not skip regular medical check-ups.,Avoid self-medication or unverified home remedies.,,,,,
Acute Bronchitis,Go out in cold or damp weather,Delay in getting medical care if your symptoms worsen.,Smoke and inhale second-hand smoke,Come in close contact with sick people,Touch contaminated surfaces,,,,,
Arterial,Do not smoke or use tobacco in any form.,"Avoid fatty, fried, and junk food.","Do not ignore symptoms like leg pain while walking, numbness, or cold limbs.",Avoid prolonged inactivity or sitting for long hours.,Do not stop medicines without consulting a doctor.,,,,,
Acute Appendicitis,"Do not ignore abdominal pain, nausea, or fever.",Do not eat or drink anything once appendicitis is suspected (unless advised).,Avoid taking painkillers or home remedies without doctor consultation.,Avoid delaying surgery or medical treatment., Avoid delaying surgery or medical treatment.,,,,,
Bipolar Disorder,Do not stop medicines suddenly without doctor�s advice.,"Avoid alcohol, drugs, and substance abuse.",Do not ignore signs of mania or depression.,Avoid sleep deprivation and irregular daily routines.,Do not self-diagnose or self-medicate.,,,,,
Bacterial Vaginosis,Do not douche or use scented soaps/cleansers in the vaginal area.,Avoid unprotected sexual intercourse during treatment.,Do not skip or stop antibiotics midway.,"Avoid tight, synthetic clothing.",Do not ignore recurring symptoms.,,,,,
Blepharitis,Use soap and shampoo until the condition subsides,Smoke cigarettes,Use waterproof eye makeup,Eat unhealthy foods,Take too many preservative-free eye drops,,,,,
Bruxism (Teeth Grinding),Do not chew gum excessively.,"Avoid caffeine and alcohol, especially before bedtime.","Do not ignore jaw pain, headaches, or worn teeth.",Avoid clenching your jaw during stress or concentration.,Do not delay dental check-ups.,,,,,
Barrett's Esophagus,Leave GERD untreated.,Ignore when you vomit blood.,Do smoking or take alcohol.,Forget to take medications.,Lie flat straight at night.,,,,,
Bronchiectasis,Do not smoke or stay in smoky environments.,"Avoid dusty, polluted, and cold air exposure.",Do not ignore chronic cough with sputum or repeated infections.,Avoid skipping medicines or physiotherapy sessions.,Do not self-medicate without medical advice.,,,,,
Bile Duct Cancer,Ignore any symptoms or signs of bile duct cancer.,Smoke or drink excessive alcohol,Skip or delay appointments or treatments recommended by your doctor.,Take excessive amounts of vitamin supplements without checking with your doctor.,Stop your treatment without discussing it with your doctor.,,,,,
Benign Prostatic Hyperplasia,"Avoid consuming alcohol, caffeine, and spicy foods.","Engage in activities that put pressure on the bladder, such as heavy lifting",Self-medicate without consulting with a healthcare provider.,"Engage in activities that irritate the prostate, such as cycling for extended periods.",Avoid going to the bathroom when you feel the urge to urinate.,,,,,
Benign Tumor,Can grow quickly,Have irregular borders,Can Spread into surrounding tissue or organs,Can spread to other parts of the body,,,,,,
Botulism,Use unpasteurized honey for babies below one year of age,Eat damaged and old canned food products,Eat foods that have foul smell,Ignore immediate medical treatment if you suspect botulism,Avoid eating garlic and onions kept at room temperature,,,,,
Breast Cancer,Eat foods containing sugar,Take counterfeit hormones,Eat processed and junk foods,Use cosmetic and personal care products containing parabens,Intake of alcoholic beverages and cigarette smoking.,Eat foods containing saturated fats and increase cholesterol levels.,,,,
Burning Mouth Syndrome,"Avoid spicy, hot, acidic, or salty foods.","Do not use tobacco, alcohol, or mouthwashes with strong chemicals.",Avoid chewing gum excessively.,"Do not ignore persistent burning, pain, or dryness in the mouth.",Avoid self-medication or home remedies without medical advice.,,,,,
Bladder Stones,Consume alcohol,Smoke,Have fatty and oily foods,Have extra calcium supplements,Have high salt intake,,,,,
Bone Marrow Failure Syndrome,"Do not skip medicines, blood tests, or follow-up visits.",Avoid contact with sick people to reduce infection risk.,Do not take over-the-counter medicines without medical advice.,Avoid activities that may cause injury or bleeding.,Do not delay treatment options like transfusion or transplant if recommended.,,,,,
